date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-02-25,-7,-14,0.0,8.0,1,13,03:25 AM,01:36 PM,06:28 AM,05:34 PM,-11,-17,-9,-17,28,61,88,0.0,1023,-7,9,276,17,Michigan
2012-06-16,30,26,0.0,5.0,6,4,04:04 AM,06:02 PM,06:20 AM,08:21 PM,23,30,30,27,21,52,78,13.7,1016,30,8,122,11,Texas
2010-12-02,-1,-6,0.0,2.0,1,18,03:55 AM,02:24 PM,07:21 AM,04:48 PM,-7,-9,-4,-9,27,74,83,0.0,1021,-1,4,267,16,Northern%20Illinois
2009-05-23,26,17,0.0,13.0,5,0,04:58 AM,07:54 PM,06:06 AM,08:23 PM,18,21,22,21,16,54,85,0.2,1020,26,8,183,8,North%20Carolina
2014-09-16,30,25,0.0,12.0,7,41,No moonrise,01:10 PM,06:11 AM,06:25 PM,23,31,31,27,15,13,77,0.0,1015,30,10,91,10,Island%20of%20Puerto%20Rico
2012-08-08,30,21,0.0,14.0,7,55,11:13 PM,12:46 PM,06:01 AM,08:03 PM,22,29,29,26,11,26,81,0.0,1014,30,9,219,7,Newark
2014-11-02,8,2,0.0,10.0,2,68,03:23 PM,02:25 AM,07:28 AM,05:51 PM,-1,0,5,0,47,21,69,0.4,1012,8,9,330,29,New%20York
2014-10-15,21,14,0.0,8.0,4,51,No moonrise,02:00 PM,07:25 AM,06:42 PM,13,18,18,18,24,53,80,38.1,1010,21,8,205,10,North%20Carolina
2008-08-26,21,9,0.0,13.0,4,26,12:57 AM,05:56 PM,06:21 AM,08:00 PM,9,14,15,14,17,28,72,1.5,1018,21,7,216,7,Tacoma
2009-03-05,11,-6,0.0,12.0,2,59,11:56 AM,02:56 AM,06:42 AM,06:11 PM,-11,-1,3,-1,26,19,42,0.0,1025,11,9,172,15,Northern%20Illinois
2013-04-26,17,7,0.0,13.0,4,86,09:07 PM,06:27 AM,06:02 AM,07:48 PM,4,11,12,11,18,7,62,0.0,1028,17,10,289,10,Newark
2011-01-22,-5,-10,0.0,8.0,1,77,08:55 PM,08:43 AM,07:19 AM,05:09 PM,-10,-13,-8,-13,19,29,85,0.0,1016,-5,10,312,11,Southeastern%20Michigan
2013-01-19,17,7,0.0,10.0,4,49,12:09 PM,12:55 AM,07:14 AM,05:47 PM,8,11,12,11,16,26,73,0.0,1025,17,10,150,10,Texas
2008-08-07,27,17,0.0,14.0,6,35,12:59 PM,11:00 PM,06:05 AM,08:13 PM,14,22,23,22,21,12,60,0.0,1016,27,10,331,12,Illinois
2014-09-04,28,20,0.0,13.0,6,68,03:59 PM,01:13 AM,06:26 AM,07:24 PM,17,25,25,24,15,11,68,0.0,1021,28,10,161,8,New%20York
2011-10-15,12,6,0.0,8.0,2,75,08:29 PM,10:50 AM,07:26 AM,06:35 PM,5,6,9,6,49,58,81,2.0,1006,12,10,252,25,Northern%20and%20Central%20California
2013-10-04,27,9,0.0,11.0,5,0,06:40 AM,06:38 PM,07:02 AM,06:51 PM,9,17,18,17,13,5,66,0.0,1014,27,10,223,6,San%20Francisco%20Bay%20Area
