,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
1065,Hurricane Ike,2008,9/13/2008,9/16/2008,American Electric Power CSWS,Texas and Louisana,SPP,,"184,501","severe weather, hurricane/tropical storm",16:00:00,19:44:00
1066,Hurricane Ike,2008,9/13/2008,9/27/2008,Louisiana Generating LLC,Southwest Louisiana,SERC,40,"50,000","severe weather, hurricane/tropical storm",10:24:00,14:40:00
1067,Hurricane Ike,2008,9/12/2008,9/27/2008,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,650,"113,247","severe weather, hurricane/tropical storm",20:00:00,19:00:00
1068,Hurricane Ike,2008,9/12/2008,10/1/2008,CenterPoint Energy,Greater Houston-Galveston Metro Area,TRE,"8,087","2,142,678","severe weather, hurricane/tropical storm",18:21:00,23:59:00
1069,Hurricane Ike,2008,9/12/2008,10/1/2008,Electric Reliability Council of Texas,Greater Houston Area-Eastern Region of ERCOT,TRE,,"2,504,366","severe weather, hurricane/tropical storm",18:21:00,23:59:00
1070,Hurricane Ike,2008,9/12/2008,9/14/2008,Entergy Corporation,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,,"705,000","severe weather, hurricane/tropical storm",05:45:00,13:00:00
1071,Fuel Supply Deficiency,2008,9/8/2008,9/9/2008,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency,22:03:00,00:28:00
1072,Tropical Storm Hanna,2008,9/6/2008,9/6/2008,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,220,"64,463","severe weather, hurricane/tropical storm",14:15:00,16:06:00
1073,Tropical Storm Hanna,2008,9/6/2008,9/6/2008,Progress Energy Carolinas,Eastern North Carolina,SERC,,"57,000","severe weather, hurricane/tropical storm",07:45:00,10:30:00
1074,Hurricane Gustav,2008,9/1/2008,9/13/2008,Louisiana Generating LLC,Primarily South and Central Louisiana,SERC,400,"150,000","severe weather, hurricane/tropical storm",10:30:00,19:22:00
1075,Hurricane Gustav,2008,9/1/2008,9/10/2008,Cleco Power LLC,"Bayou Division and North Lake Division, Louisiana",SERC,,"246,092","severe weather, hurricane/tropical storm",11:45:00,16:00:00
1076,Fuel Supply Curtailed,2008,8/31/2008,9/19/2008,Dow Chemical Company,"Plaquemine, Louisiana",SERC,200,0,fuel supply emergency,07:30:00,09:00:00
1077,Hurricane Gustav,2008,8/31/2008,9/3/2008,Entergy Corporation,"Louisiana, Mississippi, Arkansas",SERC,,"964,000","severe weather, hurricane/tropical storm",19:00:00,09:00:00
1078,Tropical Storm Fay,2008,8/24/2008,8/24/2008,Southern Company,Georgia and Alabama,SERC,110,"87,390","severe weather, hurricane/tropical storm",04:30:00,14:00:00
1079,Fuel Supply Emergency-Low Coal Inventory Levels,2008,8/22/2008,8/23/2008,Mirant Chalk Point LLC,-,RFC,0,0,"fuel supply emergency, coal",12:00:00,12:00:00
1080,Tropical Storm Fay,2008,8/21/2008,8/25/2008,Progress Energy Florida,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",FRCC,,"430,000","severe weather, hurricane/tropical storm",19:00:00,08:00:00
1081,Tropical Storm Fay,2008,8/19/2008,8/22/2008,Florida Power and Light,Florida,FRCC,,"101,950","severe weather, hurricane/tropical storm",09:29:00,22:00:00
1082,Shed Firm Load,2008,8/18/2008,8/19/2008,Puerto Rico Electric Power Authority,North Part of Island,PR,225,"100,000",load shedding,19:22:00,18:44:00
1083,Lightning/Transmission Equipment Damage,2008,8/16/2008,8/16/2008,Lubbock Power and Light,City of Lubbock,TRE,153,"71,823","severe weather, thunderstorm, equipment failure",05:23:00,07:30:00
1084,Shed Firm Load/Voltage Reduction,2008,8/16/2008,8/16/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,300,"200,000","load shedding, voltage reduction",08:14:00,15:00:00
1085,Made Public Appeals,2008,8/15/2008,8/15/2008,Seattle City Light,Part of Seattle's Downtown,WECC,100,"8,000",public appeal,12:52:00,17:00:00
1086,Declared Energy Emergency Alert 1/Made Public Appeals,2008,8/9/2008,8/9/2008,XCEL,Texas Panhandle and Eastern New Mexico,SPP,0,0,"fuel supply emergency, public appeal",12:00:00,20:46:00
1087,Severe Storms,2008,8/5/2008,8/5/2008,Northern Indiana Public Service Company,Northwest Indiana,RFC,0,"63,000","severe weather, storm",03:00:00,09:50:00
1088,Severe Weather,2008,8/4/2008,8/6/2008,Exelon Corporation West ComEd,The ComEd Territory,RFC,,"653,000",severe weather,18:00:00,08:00:00
1089,Severe Thunderstorms,2008,8/3/2008,8/3/2008,Entergy Corporation,"Mississippi, Louisiana, Texas",SERC,,"59,500","severe weather, thunderstorm",01:30:00,04:15:00
1090,Severe Thunderstorms,2008,8/2/2008,8/3/2008,Southern Company,Georgia and Alabama,SERC,400,"131,115","severe weather, thunderstorm",20:00:00,05:30:00
1091,Electric System Separation/Severe Lightning Storms,2008,7/24/2008,7/24/2008,ISO New England,"Bangor Hydro System, northern Maine",NPCC,180,"110,000","severe weather, thunderstorm, islanding",07:23:00,17:41:00
1092,Hurricane Dolly,2008,7/23/2008,7/31/2008,American Electric Power,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,703,"211,266","severe weather, hurricane/tropical storm",05:56:00,04:00:00
1093,Severe Thunderstorms,2008,7/22/2008,7/24/2008,Duke Energy Indiana,Indiana,RFC,,"58,000","severe weather, thunderstorm",03:00:00,19:32:00
1094,Indequate Electric Resources to Serve Load/Public Appeal,2008,7/22/2008,7/24/2008,Southwestern Public Service Company,Texas Panhandle and Southeastern New Mexico,SPP,,-,"load shedding, public appeal",14:00:00,05:09:00
1095,Severe Thunderstorms,2008,7/22/2008,7/23/2008,Duke Energy Ohio,Southwest Ohio,RFC,,"56,000","severe weather, thunderstorm",03:00:00,03:30:00
1096,Storm,2008,7/21/2008,7/22/2008,MidAmercian Energy Company,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",MRO,170,"185,000","severe weather, storm",00:49:00,18:00:00
1097,Unit Tripped,2008,7/10/2008,7/10/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,240,-,generator trip,14:22:00,17:21:00
1098,Heat Wave/Potential Fire Threat/Made Public Appeals,2008,7/7/2008,7/10/2008,California ISO,ISO Balancing Area,WECC,0,0,"severe weather, heat, public appeal",12:15:00,17:00:00
1099,Fuel Supply Deficiency,2008,7/2/2008,Ongoing,"State of California, Department of Water Resources",Restricted Hydroelectric Capability,WECC,-,-,fuel supply emergency,16:00:00,
1100,Thunderstorms,2008,7/2/2008,7/3/2008,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,,"56,000","severe weather, thunderstorm",20:00:00,03:00:00
1101,Severe Weather,2008,7/2/2008,7/6/2008,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,125,"239,663",severe weather,15:00:00,12:00:00
1102,Wild Land Fire,2008,7/2/2008,7/2/2008,California ISO,"Santa Barbara County, California, near Goleta",WECC,208,"200,000",wild fire,19:16:00,23:28:00
1103,Brush Fire/Lines Loss/Transmission Emergency Declared,2008,7/2/2008,7/3/2008,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,119,"37,784",wild fire,19:36:00,01:10:00
1104,Unit Tripped,2008,7/1/2008,7/1/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,160,-,generator trip,07:31:00,12:00:00
1105,Severe Wind Storm,2008,6/27/2008,6/27/2008,Omaha Public Power District,"Omaha, Nebraska (Metro Area)",MRO,650,"126,000","severe weather, wind",16:30:00,17:30:00
1106,Thunderstorms,2008,6/26/2008,6/26/2008,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,,"53,000","severe weather, thunderstorm",17:00:00,21:30:00
1107,Transmission Equipment Failure/Load Shedding,2008,6/23/2008,6/23/2008,Progress Energy Florida,"Pinellas County, Florida",FRCC,113,"32,593","load shedding, equipment failure",16:52:00,23:28:00
1108,Fire/Breaker Failure,2008,6/23/2008,6/23/2008,Northern Indiana Public Service Company,Northcentral Indiana,RFC,425,,equipment failure,13:44:00,13:45:00
1109,Lightning Stirke/Uncontrolled Loss of Load,2008,6/22/2008,6/22/2008,Northern Indiana Public Service Company,Northwest Indiana,RFC,650,,"severe weather, thunderstorm",16:55:00,17:05:00
1110,Electrical System Separation/Severe Lightning Storms,2008,6/21/2008,6/21/2008,Pacific Gas and Electric Company,"Near Rogers Flat, California",WECC,3,477,"severe weather, thunderstorm, islanding",15:09:00,18:53:00
1111,Severe Thunderstorms,2008,6/17/2008,6/19/2008,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,,"234,393","severe weather, thunderstorm",09:01:00,20:30:00
1112,Thunderstorms/Uncontrolled Loss of Load,2008,6/17/2008,6/17/2008,"Golden Spread Electric Cooperative, Inc","Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,276,"37,330","severe weather, thunderstorm, uncontrolled loss",20:40:00,23:00:00
1113,Electrical System Separation/Severe Thunderstorms,2008,6/17/2008,6/18/2008,Southwestern Public Service Company,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,560,"18,000","severe weather, thunderstorm, islanding",20:35:00,01:55:00
1114,Thunderstorms,2008,6/16/2008,6/16/2008,Dominion-Virginia Power,Northern Virginia,SERC,"800-1,000","115,000","severe weather, thunderstorm",16:15:00,23:19:00
1115,Electrical System Separation,2008,6/15/2008,6/15/2008,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,57,"9,700",islanding,19:06:00,20:42:00
1116,Severe Weather,2008,6/15/2008,6/15/2008,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,,"165,000",severe weather,08:00:00,20:00:00
1117,Flooding and Uncontrolled Loss,2008,6/12/2008,6/18/2008,"Midwest ISO, ITC, ALTW",East Central Iowa,RFC,200,"21,000","severe weather, flooding, uncontrolled loss",15:30:00,16:00:00
1118,Uncontrolled Loss,2008,6/11/2008,6/11/2008,New York Independent System Operator,New York State,NPCC,200,"61,000",uncontrolled loss,13:15:00,14:05:00
1119,Storm,2008,6/10/2008,6/11/2008,ISO New England,All Six New England States,NPCC,50,"60,000","severe weather, storm",23:00:00,09:00:00
1120,Inadequate Electric Resources to Serve Load,2008,6/10/2008,6/10/2008,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding,14:00:00,18:00:00
1121,Severe Storm,2008,6/10/2008,6/13/2008,National Grid,Upstate New York,NPCC,400,"68,000","severe weather, storm",11:00:00,17:30:00
1122,Severe Thunderstorms,2008,6/10/2008,6/14/2008,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,,"198,000","severe weather, thunderstorm",19:00:00,15:59:00
1123,Severe Storms,2008,6/10/2008,6/14/2008,Public Service Electric and Gas,"Bergen, Essex and Hudson Counties, New Jersey",RFC,,"248,800","severe weather, storm",18:00:00,11:30:00
1124,Fire/Breaker Failure,2008,6/9/2008,6/9/2008,Public Service Electric and Gas,"Area Around West Orange Switching Station, New Jersey",RFC,215,"75,654",equipment failure,14:52:00,20:25:00
1125,Indequate Electric Resources to Serve Load,2008,6/9/2008,6/9/2008,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding,14:00:00,19:00:00
1126,Severe Weather,2008,6/8/2008,6/9/2008,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,,"125,000",severe weather,09:30:00,07:00:00
1127,Severe Storm,2008,6/8/2008,6/16/2008,Detroit Edison Company-DTE,Southwestern Michigan (DECO Service Territory),RFC,500,"150,000","severe weather, storm",18:00:00,23:30:00
1128,Lightning Storm,2008,6/6/2008,6/12/2008,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,100,"358,000","severe weather, thunderstorm",15:18:00,08:00:00
1129,Thunderstorms,2008,6/4/2008,6/5/2008,Dominion-Virginia Power,Northern Virginia,SERC,850,"253,800","severe weather, thunderstorm",15:04:00,21:30:00
1130,Severe Storms,2008,6/4/2008,6/7/2008,Baltimore Gas and Electric Company,Entire BGE Service Territory,RFC,,"108,000","severe weather, storm",15:00:00,05:30:00
1131,Load Shedding/Voltage Reduction,2008,6/4/2008,6/4/2008,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,90,"100,948","load shedding, voltage reduction",15:14:00,15:46:00
1132,Lightning Storm,2008,6/4/2008,6/5/2008,Potomac Electric Power Company,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,,"249,408","severe weather, thunderstorm",15:00:00,01:00:00
1133,Severe Weather,2008,6/3/2008,6/7/2008,Allegheny Power,"Maryland, West Virginia, Virginia",RFC,634,"157,168",severe weather,17:00:00,23:00:00
1134,"Load Shedding, Inadequate Electric Resources to Serve Load",2008,5/30/2008,5/30/2008,"Entergy Services, Inc.",South Louisiana,SERC,200-250,,load shedding,14:05:00,20:00:00
1135,Severe Thunderstorms,2008,5/30/2008,6/4/2008,Indianapolis Power and Light,"Northeastern Marion County, Indiana",RFC,,"70,000","severe weather, thunderstorm",22:00:00,23:59:00
1136,Severe Storms,2008,5/30/2008,5/30/2008,Exelon Corporation-ComEd,Northern and Western Counties of Illinois,RFC,,"109,000","severe weather, storm",09:30:00,23:00:00
1137,Lightning Storm,2008,5/27/2008,5/27/2008,ISO New England,South West Connecticut,NPCC,130,"56,400","severe weather, thunderstorm",14:02:00,15:52:00
1138,Severe Storm,2008,5/12/2008,5/14/2008,Atlantic City Electric,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,55,"135,000","severe weather, storm",00:01:00,00:00:00
1139,Electric System Separation,2008,5/11/2008,5/11/2008,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,47,"9,700",islanding,16:50:00,20:43:00
1140,Severe Thunderstorms,2008,5/11/2008,5/12/2008,Southern Company,Georgia,SERC,100,"80,539","severe weather, thunderstorm",06:00:00,14:30:00
1141,Load Shedding,2008,5/8/2008,5/8/2008,California ISO,California,WECC,483,0,load shedding,10:21:00,00:56:00
1142,Severe Weather,2008,4/9/2008,4/13/2008,Oncor Electrtic Delivery Company LLC,"North, Central and East Texas",TRE,,"488,689",severe weather,16:00:00,01:15:00
1143,Severe Thunderstorms,2008,4/4/2008,4/4/2008,Entergy Corporation,"Arkansas, North Louisiana, Mississippi",SERC,,"122,600","severe weather, thunderstorm",12:31:00,17:00:00
1144,Major Storm,2008,3/15/2008,3/16/2008,Southern Company,Parts of Alabama and Georgia,SERC,200,"157,744","severe weather, storm",20:55:00,20:30:00
1145,Windstorm,2008,3/8/2008,3/8/2008,Dominion-Virginia Power,Virginia and Eastern Part of North Carolina,SERC,210,"141,130","severe weather, wind",14:14:00,21:59:00
1146,Severe Weather,2008,3/8/2008,3/10/2008,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,,"168,449",severe weather,16:00:00,13:44:00
1147,Thunderstorms,2008,3/4/2008,3/4/2008,Duke Energy Carolinas,North and South Carolina,SERC,300,"55,267","severe weather, thunderstorm",21:30:00,22:45:00
1148,Transmission Equipment Failure,2008,2/26/2008,2/26/2008,Florida Power and Light,Primary Dade County Florida,FRCC,"3,200","584,384","equipment failure, transmission interruption",13:09:00,16:11:00
1149,Under Frequency/Load Shedding,2008,2/26/2008,2/26/2008,Progress Energy Florida,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,500,"150,000",load shedding,13:10:00,15:45:00
1150,Thunderstorms,2008,2/26/2008,2/26/2008,Southern Company,Southern Service Area/Alabama and Georgia,SERC,484,"145,380","severe weather, thunderstorm",05:00:00,15:00:00
1151,Under Frequency/Load Shedding,2008,2/26/2008,2/26/2008,Tampa Electric Company,Tampa Electric Service Territory,FRCC,318,"53,965",load shedding,13:09:00,14:40:00
1152,Under Frequency/Load Shedding,2008,2/26/2008,2/26/2008,Florida Municipal Power Agency,Various Cities in Florida,FRCC,140,"47,661",load shedding,13:09:00,14:10:00
1153,Shed Firm Load,2008,2/26/2008,2/26/2008,Seminole Electric Cooperative,FRCC Region-West Coast Florida,FRCC,120,"56,000",load shedding,13:09:00,13:47:00
1154,Fuel Supply Deficiency,2008,2/25/2008,3/12/2008,Owensboro Municpal Utilities,Restricted Coal Capability,RFC,,0,fuel supply emergency,08:00:00,08:00:00
1155,Electrical System Separation,2008,2/15/2008,2/15/2008,Pacific Gas and Electric Company,"Antioch, California",WECC,10,"10,008",islanding,15:06:00,19:36:00
1156,Load Shedding,2008,2/14/2008,2/14/2008,PacifiCorp,Utah,WECC,"2,818","74,031",load shedding,08:15:00,10:46:00
1157,Ice Storm,2008,2/13/2008,2/14/2008,ISO New England,State of Maine,NPCC,50,"50,462","severe weather, winter storm",18:43:00,12:00:00
1158,Severe Weather,2008,2/12/2008,2/15/2008,Entergy Corporation,"Arkansas, Mississippi, Louisiana",SERC,,"54,000",severe weather,15:00:00,17:00:00
1159,Severe Weather,2008,2/10/2008,2/12/2008,Allegheny Power,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,412,"100,969",severe weather,04:00:00,20:43:00
1160,High Winds,2008,2/10/2008,2/14/2008,American Electric Power,Virginia and West Virginia Area of AEP,RFC,,"97,342","severe weather, wind",11:00:00,17:05:00
1161,High Winds,2008,2/10/2008,2/11/2008,Duke Energy Carolinas,"Greenboro, North Carolina and I-40 Corridor",SERC,300,"50,718","severe weather, wind",18:02:00,04:00:00
1162,High Winds,2008,2/10/2008,2/10/2008,Dominion-Virginia Power,Dominion Service Territory,SERC,170,"114,618","severe weather, wind",14:06:00,23:36:00
1163,High Winds,2008,2/10/2008,2/10/2008,PJM Interconnection LLC,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,,"212,560","severe weather, wind",11:00:00,23:36:00
1164,Electrical System Separation,2008,2/9/2008,2/9/2008,Pacific Gas and Electric Company,"Near Arnold, California",WECC,0,0,islanding,11:59:00,15:33:00
1165,Severe Weather,2008,2/6/2008,2/6/2008,Tennessee Valley Authority,Mid to West Tennessee,SERC,,"57,000",severe weather,09:00:00,11:00:00
1166,Severe Weather,2008,2/5/2008,2/6/2008,LG&E Energy/Kentucky Utilities,State of Kentucky,SERC,,"76,000",severe weather,22:00:00,03:00:00
1167,Equipment Faulted,2008,2/2/2008,2/2/2008,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,,-,equipment failure,03:58:00,16:27:00
