,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
97,Public Appeal due to Severe Weather - Cold,2014,1/23/2014,1/24/2014,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold",13:04:00,09:00:00
98,Physical Attack - Vandalism,2014,1/22/2014,1/22/2014,Duke Energy Midwest,Ohio,RFC,Unknown,Unknown,"vandalism, physical",09:45:00,20:19:00
99,Physical Attack - Vandalism,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",13:55:00,14:55:00
100,Suspected Physical Attack,2014,1/22/2014,1/23/2014,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,Unknown,Unknown,"vandalism, physical",21:15:00,03:08:00
101,Physical Attack - Vandalism,2014,1/22/2014,1/22/2014,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",00:30:00,02:45:00
102,Physical Attack - Vandalism,2014,1/21/2014,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical",17:00:00,
103,Physical Attack - Vandalism,2014,1/21/2014,1/21/2014,Ameren Missouri,Missouri,SERC,10,Unknown,"vandalism, physical",12:14:00,12:39:00
104,Electrical System Islanding,2014,1/18/2014,Unknown,First Energy Solutions Corp.,Unknown,RFC,Unknown,Unknown,islanding,17:39:00,
105,Public Appeal to Reduce Electricity Usage,2014,1/18/2014,1/18/2014,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,09:00:00,09:45:00
106,Suspected Physical Attack,2014,1/17/2014,1/17/2014,Dayton Power & Light Co,Ohio,RFC,Unknown,Unknown,"vandalism, physical",12:20:00,12:20:00
107,Physical Attack - Vandalism,2014,1/16/2014,1/16/2014,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",12:30:00,13:57:00
108,Physical Attack - Vandalism,2014,1/15/2014,1/15/2014,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical",14:32:00,14:45:00
109,Physical Attack - Vandalism,2014,1/13/2014,1/13/2014,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",16:44:00,16:45:00
110,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/8/2014,1/8/2014,South Carolina Electric and Gas,South Carolina,SERC,"4,545","677,858","severe weather, cold",06:00:00,09:00:00
111,Voltage Reduction due to Severe Weather - Cold,2014,1/8/2014,1/8/2014,American Electric Power,Unknown,RFC,576,Unknown,"severe weather, cold",05:00:00,06:30:00
112,Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/7/2014,1/7/2014,South Carolina Electric and Gas,South Carolina,SERC,"4,853","677,858","severe weather, cold",18:00:00,23:00:00
